,year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1039,2001-2002,107,1,26,NEW YOR,"HINCHEY, MAURICE D.",1,2,3,1,0.333333343,2,NY,33,2,0,9,0,1,10/27/1938,62,0.554347813,37323,0.516813219,0.905503333,0.773999989,0.224999994,0.57112062,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040,2001-2002,107,1,15,TEXAS,"HINOJOSA, RUBEN E.",4,1,5,1,0.800000012,2,TX,44,7,0,5,0,0,8/20/1940,60,0.550000012,19554,0.528200746,0.754768908,0.508000016,0.115000002,0.706732571,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,91,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,2001-2002,107,2,7,OHIO,"HOBSON, DAVID L.",2,1,3,1,0.666666687,1,OH,36,3,1,11,0,1,10/17/1936,64,0.40206185,34979,0.517674446,0.935514331,0.761999965,0.152999997,0.573809505,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,9,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,2001-2002,107,1,13,PENNSYL,"HOEFFEL, JOSEPH M.",1,1,2,1,0.5,1,PA,39,2,0,3,0,1,9/3/1950,50,0.556701005,52778,0.530537486,0.909793854,0.845000029,0.335000008,0.923406601,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,2001-2002,107,2,2,MICHIGA,"HOEKSTRA, PETER",2,1,3,1,0.666666687,1,MI,23,3,1,9,0,1,10/30/1953,47,0.391752571,33251,0.516285598,0.928820789,0.759000003,0.136000007,0.478380471,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,2001-2002,107,1,6,PENNSYL,"HOLDEN, TIM",0,0,0,0,0,2,PA,39,2,0,9,0,1,3/5/1957,43,0.447916657,34351,0.52725023,0.951794028,0.698000014,0.126000002,0.561821282,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,55,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,2001-2002,107,1,12,NEW JER,"HOLT, RUSH",1,2,3,1,0.333333343,1,NJ,31,2,0,3,0,1,10/15/1948,52,0.525773168,62034,0.51516372,0.896074891,0.875,0.397000015,0.659013152,0.555555582,0.377192974,0.164750963,0.572992682,0.70714283,0.310000002,0.370000005,0.02,0.090000004,0.200000003,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,2001-2002,107,1,15,CALIFOR,"HONDA, MIKE",1,1,2,1,0.5,1,CA,5,9,0,1,0,0,6/27/1941,59,0.600000024,57300,0.505996227,0.822416306,0.883000016,0.34799999,0.95930022,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,2001-2002,107,1,5,OREGON,"HOOLEY, DARLENE KAY",1,1,2,1,0.5,1,OR,38,9,0,5,1,1,4/4/1939,61,0.538461566,33675,0.51216197,0.936029613,0.815999985,0.207000002,0.654739261,0.576271176,0.428571433,0.087719299,0.5,0.660000026,0.460000008,0.140000001,0.050000001,0.059999999,0.289999992,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,2001-2002,107,2,38,CALIFOR,"HORN, STEVE",1,1,2,1,0.5,1,CA,5,9,1,9,0,1,5/31/1931,69,0.610526323,39810,0.501803219,0.69216305,0.764999986,0.209999993,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
